                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2871,                 1.3485,                 1.1935,                0.95605,                0.22713,                 0.3072,                0.12012,                 2.1503,                 1.7303,                 1.6535,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.2841,                 1.2545,                 1.1875,                0.91959,                0.22989,                0.28985,                0.11634,                 2.1526,                 1.7638,                 1.6624,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.2696,                 1.3729,                 1.1885,                0.94933,                 0.2069,                0.27922,                0.11037,                 2.1129,                 1.7798,                 1.6505,             0.00062705,             0.00062705,             0.00062705
                     47,                  1.313,                 1.4057,                 1.2575,                0.93708,                0.21839,                0.26715,                 0.1104,                 1.9839,                 1.8425,                 1.5858,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.2395,                 1.2361,                 1.1564,                0.59351,                0.21839,                0.27086,                0.11825,                 1.9718,                 1.8517,                 1.5684,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.2904,                 1.3864,                 1.2406,                0.62789,                 0.1954,                0.27762,                0.10979,                 2.0176,                 1.8603,                 1.5611,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.2237,                 1.3149,                 1.1482,                0.27106,                0.22989,                0.28645,                0.11216,                  2.051,                 1.7456,                 1.5814,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.2209,                 1.3308,                 1.2088,                0.54457,                0.52442,                0.61155,                0.15326,                 2.0825,                 1.6477,                 1.5819,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.1266,                 1.1581,                 1.1035,                0.58099,                0.54646,                0.61822,                0.18636,                 2.0349,                 1.5566,                  1.538,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.2232,                 1.4304,                 1.1866,                 0.5516,                0.57471,                0.61799,                0.19766,                 1.9134,                 1.4895,                 1.4665,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.2913,                 1.4821,                  1.249,                0.52692,                 0.6092,                0.62632,                0.23251,                 1.8859,                 1.3932,                 1.4492,             0.00053906,             0.00053906,             0.00053906
                     55,                  1.159,                 1.1495,                 1.0976,                0.55165,                0.64368,                0.63814,                0.24364,                 1.8984,                 1.3284,                  1.451,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.2243,                 1.2698,                 1.1733,                0.50917,                0.64368,                0.64023,                0.23071,                 1.9033,                 1.3802,                  1.459,             0.00051706,             0.00051706,             0.00051706
                     57,                  1.213,                 1.3372,                 1.1945,                0.31569,                 0.6456,                0.63897,                0.22369,                 1.9204,                 1.4545,                 1.4739,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0561,                  1.151,                 1.0931,                0.20808,                 0.3317,                0.47189,                0.16724,                 1.9166,                 1.4538,                 1.4614,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.1539,                 1.2087,                 1.1014,                0.62808,                0.25287,                0.33265,                0.14518,                 1.9147,                 1.5454,                 1.4343,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.1931,                 1.2251,                 1.1412,                0.62643,                0.22989,                0.29915,                0.13438,                 1.8877,                 1.7477,                  1.451,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.1732,                 1.1746,                 1.1057,                0.57685,                 0.2069,                0.28695,                0.13532,                 1.8209,                 1.9571,                 1.4285,             0.00046206,             0.00046206,             0.00046206
                     62,                  1.096,                 1.1591,                  1.103,                0.57304,                 0.1954,                0.33153,                0.14852,                 1.7611,                 2.1212,                 1.4222,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.0873,                 1.1186,                 1.1006,                0.56992,                 0.2069,                0.30478,                0.16426,                 1.7473,                 2.2446,                 1.4352,             0.00044007,             0.00044007,             0.00044007
                     64,                  1.209,                 1.1163,                 1.1268,                 0.6074,                0.21272,                0.32475,                0.16633,                 1.7714,                 2.1839,                 1.4533,             0.00042907,             0.00042907,             0.00042907
                     65,                  1.139,                 1.2054,                 1.1286,                 0.6072,                0.21185,                 0.3132,                0.13965,                 1.8078,                 2.0484,                 1.4417,             0.00041807,             0.00041807,             0.00041807
                     66,                  1.084,                  1.048,                 1.0803,                0.59945,                0.21839,                0.30797,                0.12928,                 1.8852,                 1.8732,                  1.482,             0.00040707,             0.00040707,             0.00040707
                     67,                 1.0891,                  1.117,                 1.0938,                0.59772,                0.22046,                0.32661,                0.12646,                 1.9794,                 1.8439,                 1.5384,             0.00039607,             0.00039607,             0.00039607
                     68,                 1.0774,                 1.1513,                 1.0712,                  0.591,                0.24138,                0.32525,                0.13673,                 1.9863,                 1.7952,                 1.5446,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.0543,                 1.0422,                 1.0726,                0.60055,                0.24138,                0.30835,                0.13785,                 1.9277,                 1.7687,                 1.5048,             0.00037407,             0.00037407,             0.00037407
                     70,                 1.0547,                 1.0878,                  1.067,                 0.5913,                0.23617,                0.33561,                0.16047,                 1.8422,                 1.7372,                 1.4417,             0.00036307,             0.00036307,             0.00036307
                     71,                 1.0072,                 1.0136,                  1.051,                0.59494,                0.25157,                0.46688,                0.23651,                 1.8111,                 1.7678,                 1.4192,             0.00035208,             0.00035208,             0.00035208
                     72,                 1.0317,                 1.1952,                 1.0953,                  0.601,                0.27586,                 0.4818,                0.23736,                 1.7981,                 1.7091,                 1.3885,             0.00034108,             0.00034108,             0.00034108
                     73,                 1.1285,                  1.152,                 1.1514,                0.57964,                0.27586,                0.65883,                0.28058,                 1.7818,                 1.6503,                 1.3909,             0.00033008,             0.00033008,             0.00033008
                     74,                 1.1168,                 1.0334,                 1.0617,                0.56219,                  0.277,                0.65172,                0.24229,                 1.7815,                 1.6083,                 1.3913,             0.00031908,             0.00031908,             0.00031908
                     75,                 1.0085,                 1.1011,                 1.1102,                 0.5706,                0.27586,                0.64742,                0.27686,                 1.8052,                  1.617,                 1.3944,             0.00030808,             0.00030808,             0.00030808
                     76,                 1.0278,                0.98355,                 1.0587,                0.56372,                0.27586,                0.65871,                0.27708,                  1.822,                 1.6514,                 1.4121,             0.00029708,             0.00029708,             0.00029708
                     77,                0.92759,                0.95063,                 1.0446,                0.56555,                0.26399,                0.61618,                0.26517,                 1.8423,                 1.6714,                 1.4134,             0.00028608,             0.00028608,             0.00028608
                     78,                0.99644,                 1.0137,                 1.0441,                0.55305,                0.25287,                0.60298,                0.22013,                 1.8765,                 1.6959,                 1.4298,             0.00027508,             0.00027508,             0.00027508
                     79,                0.99908,                0.97233,                 1.0525,                0.93266,                0.22708,                0.59558,                 0.2059,                 1.9251,                 1.7172,                  1.456,             0.00026408,             0.00026408,             0.00026408
                     80,                0.93906,                 1.1618,                 1.1329,                0.93075,                0.22989,                0.42869,                0.16007,                 1.9763,                 1.7414,                 1.4929,             0.00025309,             0.00025309,             0.00025309
                     81,                0.98448,                0.98063,                 1.0294,                0.93053,                0.22989,                 0.3988,                0.15411,                 2.0155,                  1.697,                 1.5251,             0.00024209,             0.00024209,             0.00024209
                     82,                0.97931,                  1.014,                 1.0891,                0.95282,                0.21839,                  0.356,                0.13706,                 2.0148,                   1.59,                 1.5228,             0.00023109,             0.00023109,             0.00023109
                     83,                0.99222,                0.95656,                  1.053,                0.57103,                0.28573,                0.30546,                0.12385,                 1.9916,                 1.5167,                 1.5051,             0.00022009,             0.00022009,             0.00022009
                     84,                0.94001,                0.92896,                  1.017,                0.92417,                0.27586,                0.31581,                0.13107,                 1.9574,                 1.4632,                  1.469,             0.00020909,             0.00020909,             0.00020909
                     85,                 0.9415,                0.88842,                 1.0264,                0.92654,                 0.2847,                0.33588,                0.14031,                 1.9313,                 1.4577,                 1.4519,             0.00019809,             0.00019809,             0.00019809
