                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0503,                 1.0345,                 1.0508,                0.56368,                 0.6092,                0.60927,                 0.2328,                  1.844,                 1.5838,                  1.413,             0.00031908,             0.00031908,             0.00031908
                     75,                0.98081,                 1.0753,                 1.0986,                0.49355,                 0.6092,                0.61148,                0.22807,                 1.8859,                 1.5883,                 1.4535,             0.00030808,             0.00030808,             0.00030808
                     76,                0.98608,                0.96977,                 1.0417,                0.46998,                 0.6092,                0.61239,                0.22218,                 1.9605,                 1.5894,                  1.478,             0.00029708,             0.00029708,             0.00029708
                     77,                0.96031,                0.96364,                 1.0749,                 0.8798,                 0.5977,                0.61307,                0.25423,                 2.0267,                 1.6012,                 1.5097,             0.00028608,             0.00028608,             0.00028608
                     78,                0.97644,                0.96809,                  1.041,                0.90915,                0.57573,                0.61859,                0.24804,                 2.0704,                 1.5761,                 1.5411,             0.00027508,             0.00027508,             0.00027508
                     79,                0.97121,                0.98211,                  1.045,                0.91768,                0.57471,                0.62216,                0.24864,                 2.0993,                 1.5343,                 1.5595,             0.00026408,             0.00026408,             0.00026408
                     80,                0.95129,                 1.1069,                 1.1692,                0.90729,                0.57471,                0.62508,                0.26878,                 2.0992,                 1.5015,                 1.5563,             0.00025309,             0.00025309,             0.00025309
                     81,                0.99466,                0.93596,                 1.0403,                 0.8713,                 0.5977,                0.62907,                0.27583,                 2.0464,                 1.4622,                 1.5113,             0.00024209,             0.00024209,             0.00024209
                     82,                0.97584,                0.98554,                 1.0923,                0.81389,                 0.5977,                   0.63,                0.27991,                 1.9828,                 1.4468,                 1.4544,             0.00023109,             0.00023109,             0.00023109
                     83,                0.96409,                0.93428,                  1.051,                0.78206,                0.62069,                0.62626,                0.28115,                 1.9365,                 1.4398,                 1.4204,             0.00022009,             0.00022009,             0.00022009
                     84,                0.93124,                0.92811,                  1.028,                0.51289,                0.62069,                 0.6246,                0.36575,                 1.9011,                 1.4353,                 1.3949,             0.00020909,             0.00020909,             0.00020909
                     85,                0.93374,                 0.8781,                 1.0257,                0.54072,                0.28736,                0.62333,                0.36375,                 1.8507,                 1.4379,                 1.3783,             0.00019809,             0.00019809,             0.00019809
                     86,                0.95074,                0.90783,                 1.0335,                0.54825,                0.29213,                0.62317,                0.32972,                 1.8196,                 1.4151,                 1.3693,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.0117,                 1.1124,                 1.0723,                 0.5446,                0.28736,                 0.6216,                0.32973,                 1.8132,                 1.4199,                 1.3785,             0.00017609,             0.00017609,             0.00017609
                     88,                 1.0003,                0.95604,                 1.0624,                0.49359,                0.62379,                0.62051,                0.29463,                 1.8169,                 1.4254,                 1.3838,             0.00016509,             0.00016509,             0.00016509
                     89,                0.97188,                0.94427,                 1.0275,                0.82973,                0.62069,                 0.6189,                0.29776,                 1.8163,                  1.452,                 1.3854,              0.0001541,              0.0001541,              0.0001541
                     90,                0.93533,                0.88515,                 1.0004,                0.83377,                0.62069,                0.61627,                  0.294,                 1.8177,                 1.4878,                 1.3844,              0.0001431,              0.0001431,              0.0001431
                     91,                 0.9221,                 1.1225,                0.98873,                0.87128,                 0.6156,                0.61257,                0.29274,                 1.8243,                 1.5058,                  1.389,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.0506,                 1.4057,                 1.0954,                 0.8895,                0.60868,                0.61031,                0.29031,                 1.8303,                 1.5297,                 1.3906,              0.0001211,              0.0001211,              0.0001211
                     93,                0.94821,                 1.3926,                 1.1238,                0.89803,                0.26437,                0.61133,                0.32028,                 1.8374,                 1.5767,                 1.3975,              0.0001101,              0.0001101,              0.0001101
                     94,                0.88893,                 1.0498,                0.98763,                0.90854,                0.26437,                0.61108,                 0.3175,                 1.8453,                 1.6357,                  1.404,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.93555,                 1.0751,                 1.0272,                0.91322,                0.26437,                0.60991,                0.31941,                 1.8482,                  1.683,                 1.4039,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.99665,                 1.1547,                 1.0439,                0.91317,                0.26112,                0.61067,                0.28637,                 1.8478,                 1.6974,                 1.4063,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.90554,                 1.1217,                 1.0401,                0.57753,                0.26437,                0.44397,                 0.2201,                 1.8246,                 1.6867,                 1.4055,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.83391,                0.92425,                 1.0023,                0.93785,                0.24138,                0.36121,                0.15656,                  1.818,                 1.6537,                 1.4037,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.0008,                 1.0885,                 1.0405,                0.93615,                0.24138,                0.35879,                0.15452,                 1.8173,                 1.6228,                 1.3985,             4.4107e-05,             4.4107e-05,             4.4107e-05
